"pv","date","E_1","E_2","E_3","E_4","E_5","E_6","E_7"
"Anhui",2020-01-26,6.00268009824296,30.5008401884026,NA,NA,NA,NA,NA
"Anhui",2020-01-27,15.1858766497636,42.7982051016812,95.7458414255746,NA,NA,NA,NA
"Anhui",2020-01-28,15.8692813267065,50.4593336956125,105.683990599448,194.983735444223,NA,NA,NA
"Anhui",2020-01-29,15.3252072685536,47.7537386753018,102.591626577226,186.629147952627,313.861527775714,NA,NA
"Anhui",2020-01-30,10.7252096305634,37.8635975019605,83.0565508454073,153.502145304033,259.749583042933,416.221702328469,NA
"Anhui",2020-01-31,14.7371717303825,42.854613194292,89.1495101513811,155.04152609488,250.796914969778,393.060433298136,596.948346306562
"Anhui",2020-02-01,8.8766661958831,34.175477666373,74.7573519441806,134.781080412682,215.507424552885,329.401499426112,497.476542176915
"Anhui",2020-02-02,12.6410934130933,35.5552782443264,77.5562176759164,137.849288031516,219.583726797136,323.769008550731,466.347517095733
"Anhui",2020-02-03,12.3280084756571,38.3537890320256,76.1312288889234,135.816774396972,216.980522952587,321.702772621037,450.726929494695
"Anhui",2020-02-04,7.79652414167037,28.6856496143115,64.0063517979545,112.105496533786,184.072018483821,279.729293567224,400.415300807084
"Anhui",2020-02-05,8.45373138204948,25.7620149765577,57.0957031855194,103.756209754437,164.447834442568,251.397147651825,364.73652509913
"Anhui",2020-02-06,9.2540393441341,27.9631169929321,56.8102563171125,100.814397681611,161.231388258895,237.199136167848,342.324294511243
"Anhui",2020-02-07,7.74575921740818,25.5035103912871,53.6364197446649,93.086831901517,148.734092381914,221.792176372291,311.797442916594
"Anhui",2020-02-08,4.72206186359578,17.707599375133,41.2178614926629,75.7257158226681,122.348930189857,185.872418307479,267.481830194949
"Anhui",2020-02-09,4.46737217531488,14.4247634963755,33.2196204209689,63.1076664108074,104.683394519247,159.25906351094,231.514890965486
"Anhui",2020-02-10,2.12313301332399,9.21837117411821,22.2553680583935,44.4674716965493,78.1071552583341,123.840456177618,183.094039654313
"Anhui",2020-02-11,1.61206506703249,5.78755999323634,15.4230686066606,31.4370175353767,56.9524596633096,94.218726211309,143.971014181076
"Anhui",2020-02-12,0.913905864269623,3.69332839363599,9.35501642916664,20.8300312324264,38.9997040553928,66.9072188828193,106.799631731181
"Anhui",2020-02-13,0.837682069821701,2.79605177897089,6.90959712243312,14.269791568623,27.8470991602662,48.4804564338043,79.1217686320808
"Anhui",2020-02-14,0.464443763151403,1.86058054618757,4.51525948525648,9.51822003811594,18.0107520914119,32.9895882086441,55.2654017825634
"Anhui",2020-02-15,0.29604543926134,1.1088220247763,2.92379984272331,6.100710704232,11.7707326641394,21.112517922765,37.1425004341889
"Anhui",2020-02-16,0.225467012131195,0.792887437382096,1.92496911006364,4.12388454334561,7.7795080004241,14.0610029167921,24.1812702803031
"Anhui",2020-02-17,0.14292986336216,0.552869885418878,1.34232439011578,2.73565567956999,5.2487018890351,9.29599928794343,16.0777902595974
"Anhui",2020-02-18,0.0453485818302923,0.251802828908968,0.743730855377029,1.63186717316105,3.14130940340311,5.79396929117183,10.0153439975601
"Anhui",2020-02-19,0.00673825718169117,0.0634239844695565,0.285759327477361,0.798184355048258,1.71099112610406,3.24946109154308,5.9370243988877
"Anhui",2020-02-20,-0.00116434733316598,0.0123121670302164,0.0803350397756548,0.318551478712588,0.851473507386321,1.7889507317139,3.35644843234988
"Anhui",2020-02-21,-0.0096978388131455,-0.0120265334794774,0.00818823806559607,0.0875482562686076,0.34164579113467,0.895064820911239,1.85721249851059
"Beijing",2020-01-26,6.57847494406187,21.3847876837376,41.1560124094538,NA,NA,NA,NA
"Beijing",2020-01-27,3.69086673517575,14.9129710515166,35.2716510685707,60.6917971444915,NA,NA,NA
"Beijing",2020-01-28,2.60905769714567,9.68321893956585,25.1619835138291,50.6103335351467,81.2086575154217,NA,NA
"Beijing",2020-01-29,3.80035469862133,11.1531536633046,24.378759464351,47.5969063257458,82.2992018093608,122.312394706644,NA
"Beijing",2020-01-30,1.56678817085524,7.26732021878724,16.9919898172393,33.2933178975988,60.3811559025595,99.7104241173231,144.43105147311
"Beijing",2020-01-31,1.67601668585236,4.96627184464837,12.7569989768221,25.0907262724198,44.7753488600238,76.1198471229068,120.538785341934
"Beijing",2020-02-01,8.47088436164761,17.9175238637245,29.1983986938823,46.6800303075404,71.1102978353589,106.48110404746,157.561027142528
"Beijing",2020-02-02,5.33216762842862,18.6198293721896,32.4850583187864,48.3096188444243,71.3017647710834,102.610457136831,146.90085795894
"Beijing",2020-02-03,2.8736645850985,11.1477178016257,27.0929118941388,43.3959832928845,61.7274048918908,87.759834577447,122.863519957225
