"province","city","date","infected","dead","recovered"
"Anhui","total","Jan-11-2020",0,0,0
"Anhui","total","Jan-16-2020",0,0,0
"Anhui","total","Jan-17-2020",0,0,0
"Anhui","total","Jan-18-2020",0,0,0
"Anhui","total","Jan-20-2020",0,0,0
"Anhui","total","Jan-21-2020",2,0,0
"Anhui","total","Jan-22-2020",4,0,0
"Anhui","total","Jan-23-2020",15,0,0
"Anhui","total","Jan-24-2020",39,0,0
"Anhui","total","Jan-25-2020",60,0,0
"Anhui","total","Jan-26-2020",70,0,0
"Anhui","total","Jan-27-2020",106,0,0
"Anhui","total","Jan-28-2020",152,0,0
"Anhui","total","Jan-29-2020",200,0,2
"Anhui","total","Jan-30-2020",237,0,3
"Anhui","total","Jan-31-2020",297,0,3
"Anhui","total","Feb-01-2020",340,0,5
"Anhui","total","Feb-02-2020",408,0,7
"Anhui","total","Feb-03-2020",480,0,14
"Anhui","total","Feb-04-2020",530,0,20
"Anhui","total","Feb-05-2020",591,0,23
"Anhui","total","Feb-06-2020",665,0,34
"Anhui","total","Feb-07-2020",733,0,47
"Anhui","total","Feb-08-2020",779,1,59
"Anhui","total","Feb-09-2020",830,3,73
"Anhui","total","Feb-10-2020",860,4,88
"Anhui","total","Feb-11-2020",889,4,117
"Anhui","total","Feb-12-2020",910,5,149
"Anhui","total","Feb-13-2020",934,6,179
"Anhui","total","Feb-14-2020",950,6,213
"Anhui","total","Feb-15-2020",962,6,249
"Anhui","total","Feb-16-2020",973,6,278
"Anhui","total","Feb-17-2020",982,6,336
"Anhui","total","Feb-18-2020",986,6,361
"Anhui","total","Feb-19-2020",987,6,424
"Anhui","total","Feb-20-2020",988,6,500
