"province","city","date","infected","dead","recovered"
"Beijing","total","Jan-11-2020",0,0,0
"Beijing","total","Jan-16-2020",0,0,0
"Beijing","total","Jan-17-2020",0,0,0
"Beijing","total","Jan-18-2020",0,0,0
"Beijing","total","Jan-20-2020",5,0,0
"Beijing","total","Jan-21-2020",10,0,0
"Beijing","total","Jan-22-2020",10,0,0
"Beijing","total","Jan-23-2020",26,0,1
"Beijing","total","Jan-24-2020",36,0,1
"Beijing","total","Jan-25-2020",51,0,2
"Beijing","total","Jan-26-2020",68,0,2
"Beijing","total","Jan-27-2020",80,1,2
"Beijing","total","Jan-28-2020",91,1,4
"Beijing","total","Jan-29-2020",111,1,4
"Beijing","total","Jan-30-2020",121,1,5
"Beijing","total","Jan-31-2020",132,1,5
"Beijing","total","Feb-01-2020",183,1,9
"Beijing","total","Feb-02-2020",212,1,12
"Beijing","total","Feb-03-2020",228,1,23
"Beijing","total","Feb-04-2020",253,1,24
"Beijing","total","Feb-05-2020",274,1,31
"Beijing","total","Feb-06-2020",297,1,33
"Beijing","total","Feb-07-2020",315,2,34
"Beijing","total","Feb-08-2020",326,2,37
"Beijing","total","Feb-09-2020",337,2,44
"Beijing","total","Feb-10-2020",342,3,48
"Beijing","total","Feb-11-2020",352,3,56
"Beijing","total","Feb-12-2020",366,3,68
"Beijing","total","Feb-13-2020",372,3,79
"Beijing","total","Feb-14-2020",375,4,97
"Beijing","total","Feb-15-2020",380,4,105
"Beijing","total","Feb-16-2020",381,4,114
"Beijing","total","Feb-17-2020",387,4,122
"Beijing","total","Feb-18-2020",393,4,145
"Beijing","total","Feb-19-2020",395,4,153
"Beijing","total","Feb-20-2020",396,4,169
