"province","city","date","infected","dead","recovered"
"Chongqing","total","Jan-11-2020",0,0,0
"Chongqing","total","Jan-16-2020",0,0,0
"Chongqing","total","Jan-17-2020",0,0,0
"Chongqing","total","Jan-18-2020",0,0,0
"Chongqing","total","Jan-20-2020",0,0,0
"Chongqing","total","Jan-21-2020",5,0,0
"Chongqing","total","Jan-22-2020",9,0,0
"Chongqing","total","Jan-23-2020",27,0,0
"Chongqing","total","Jan-24-2020",57,0,0
"Chongqing","total","Jan-25-2020",75,0,0
"Chongqing","total","Jan-26-2020",110,0,0
"Chongqing","total","Jan-27-2020",132,0,0
"Chongqing","total","Jan-28-2020",147,0,0
"Chongqing","total","Jan-29-2020",165,0,1
"Chongqing","total","Jan-30-2020",206,0,1
"Chongqing","total","Jan-31-2020",238,1,1
"Chongqing","total","Feb-01-2020",262,1,3
"Chongqing","total","Feb-02-2020",300,2,7
"Chongqing","total","Feb-03-2020",337,2,9
"Chongqing","total","Feb-04-2020",366,2,14
"Chongqing","total","Feb-05-2020",389,2,15
"Chongqing","total","Feb-06-2020",411,2,24
"Chongqing","total","Feb-07-2020",426,2,31
"Chongqing","total","Feb-08-2020",446,2,39
"Chongqing","total","Feb-09-2020",468,2,51
"Chongqing","total","Feb-10-2020",486,2,66
"Chongqing","total","Feb-11-2020",505,3,79
"Chongqing","total","Feb-12-2020",525,3,114
"Chongqing","total","Feb-13-2020",529,4,128
"Chongqing","total","Feb-14-2020",537,5,152
"Chongqing","total","Feb-15-2020",544,5,184
"Chongqing","total","Feb-16-2020",551,5,210
"Chongqing","total","Feb-17-2020",553,5,235
"Chongqing","total","Feb-18-2020",555,5,254
"Chongqing","total","Feb-19-2020",560,5,274
"Chongqing","total","Feb-20-2020",567,6,299
