"province","city","date","infected","dead","recovered"
"Hubei","Enshizhou","Jan-24-2020",11,0,0
"Hubei","Enshizhou","Jan-25-2020",17,0,0
"Hubei","Enshizhou","Jan-26-2020",25,0,0
"Hubei","Enshizhou","Jan-27-2020",38,0,0
"Hubei","Enshizhou","Jan-28-2020",51,0,0
"Hubei","Enshizhou","Jan-29-2020",66,0,0
"Hubei","Enshizhou","Jan-30-2020",75,0,0
"Hubei","Enshizhou","Jan-31-2020",87,0,0
"Hubei","Enshizhou","Feb-01-2020",105,0,1
"Hubei","Enshizhou","Feb-02-2020",111,0,4
"Hubei","Enshizhou","Feb-03-2020",123,0,5
"Hubei","Enshizhou","Feb-04-2020",138,0,6
"Hubei","Enshizhou","Feb-05-2020",144,0,10
"Hubei","Enshizhou","Feb-06-2020",158,0,10
"Hubei","Enshizhou","Feb-07-2020",162,0,13
"Hubei","Enshizhou","Feb-08-2020",175,0,20
"Hubei","Enshizhou","Feb-09-2020",194,0,24
"Hubei","Enshizhou","Feb-10-2020",205,2,31
"Hubei","Enshizhou","Feb-11-2020",217,3,38
"Hubei","Enshizhou","Feb-12-2020",228,4,48
"Hubei","Enshizhou","Feb-13-2020",236,4,58
"Hubei","Enshizhou","Feb-14-2020",243,4,71
"Hubei","Enshizhou","Feb-15-2020",246,4,76
"Hubei","Enshizhou","Feb-16-2020",248,4,81
"Hubei","Enshizhou","Feb-17-2020",249,4,90
"Hubei","Enshizhou","Feb-18-2020",249,3,96
"Hubei","Enshizhou","Feb-19-2020",249,3,102
"Hubei","Enshizhou","Feb-20-2020",250,3,112
