"province","city","date","infected","dead","recovered"
"Hubei","Ezhou","Jan-24-2020",1,0,0
"Hubei","Ezhou","Jan-25-2020",1,0,0
"Hubei","Ezhou","Jan-26-2020",20,0,0
"Hubei","Ezhou","Jan-27-2020",57,0,0
"Hubei","Ezhou","Jan-28-2020",84,1,0
"Hubei","Ezhou","Jan-29-2020",123,2,0
"Hubei","Ezhou","Jan-30-2020",189,6,0
"Hubei","Ezhou","Jan-31-2020",227,9,0
"Hubei","Ezhou","Feb-01-2020",278,13,0
"Hubei","Ezhou","Feb-02-2020",306,15,2
"Hubei","Ezhou","Feb-03-2020",332,18,2
"Hubei","Ezhou","Feb-04-2020",382,18,6
"Hubei","Ezhou","Feb-05-2020",423,18,8
"Hubei","Ezhou","Feb-06-2020",476,18,9
"Hubei","Ezhou","Feb-07-2020",584,20,11
"Hubei","Ezhou","Feb-08-2020",670,21,42
"Hubei","Ezhou","Feb-09-2020",777,24,48
"Hubei","Ezhou","Feb-10-2020",868,26,61
"Hubei","Ezhou","Feb-11-2020",970,28,72
"Hubei","Ezhou","Feb-12-2020",1056,30,95
"Hubei","Ezhou","Feb-13-2020",1125,32,116
"Hubei","Ezhou","Feb-14-2020",1192,33,199
"Hubei","Ezhou","Feb-15-2020",1230,34,222
"Hubei","Ezhou","Feb-16-2020",1274,35,244
"Hubei","Ezhou","Feb-17-2020",1339,36,271
"Hubei","Ezhou","Feb-18-2020",1343,37,301
"Hubei","Ezhou","Feb-19-2020",1368,38,350
"Hubei","Ezhou","Feb-20-2020",1373,39,375
