"province","city","date","infected","dead","recovered"
"Fujian","total","Jan-11-2020",0,0,0
"Fujian","total","Jan-16-2020",0,0,0
"Fujian","total","Jan-17-2020",0,0,0
"Fujian","total","Jan-18-2020",0,0,0
"Fujian","total","Jan-20-2020",0,0,0
"Fujian","total","Jan-21-2020",0,0,0
"Fujian","total","Jan-22-2020",3,0,0
"Fujian","total","Jan-23-2020",9,0,0
"Fujian","total","Jan-24-2020",18,0,0
"Fujian","total","Jan-25-2020",29,0,0
"Fujian","total","Jan-26-2020",56,0,0
"Fujian","total","Jan-27-2020",73,0,0
"Fujian","total","Jan-28-2020",82,0,0
"Fujian","total","Jan-29-2020",101,0,0
"Fujian","total","Jan-30-2020",120,0,0
"Fujian","total","Jan-31-2020",144,0,0
"Fujian","total","Feb-01-2020",159,0,0
"Fujian","total","Feb-02-2020",179,0,0
"Fujian","total","Feb-03-2020",194,0,1
"Fujian","total","Feb-04-2020",205,0,7
"Fujian","total","Feb-05-2020",215,0,11
"Fujian","total","Feb-06-2020",224,0,15
"Fujian","total","Feb-07-2020",239,0,20
"Fujian","total","Feb-08-2020",250,0,26
"Fujian","total","Feb-09-2020",261,0,35
"Fujian","total","Feb-10-2020",267,0,39
"Fujian","total","Feb-11-2020",272,0,46
"Fujian","total","Feb-12-2020",279,0,54
"Fujian","total","Feb-13-2020",281,0,59
"Fujian","total","Feb-14-2020",285,0,66
"Fujian","total","Feb-15-2020",287,0,77
"Fujian","total","Feb-16-2020",290,0,84
"Fujian","total","Feb-17-2020",292,0,93
"Fujian","total","Feb-18-2020",293,0,96
"Fujian","total","Feb-19-2020",293,1,112
"Fujian","total","Feb-20-2020",293,1,134
