"province","city","date","infected","dead","recovered"
"Gansu","total","Jan-11-2020",0,0,0
"Gansu","total","Jan-16-2020",0,0,0
"Gansu","total","Jan-17-2020",0,0,0
"Gansu","total","Jan-18-2020",0,0,0
"Gansu","total","Jan-20-2020",0,0,0
"Gansu","total","Jan-21-2020",0,0,0
"Gansu","total","Jan-22-2020",0,0,0
"Gansu","total","Jan-23-2020",0,0,0
"Gansu","total","Jan-24-2020",2,0,0
"Gansu","total","Jan-25-2020",7,0,0
"Gansu","total","Jan-26-2020",14,0,0
"Gansu","total","Jan-27-2020",19,0,0
"Gansu","total","Jan-28-2020",19,0,0
"Gansu","total","Jan-29-2020",26,0,0
"Gansu","total","Jan-30-2020",29,0,0
"Gansu","total","Jan-31-2020",35,0,0
"Gansu","total","Feb-01-2020",40,0,0
"Gansu","total","Feb-02-2020",51,0,3
"Gansu","total","Feb-03-2020",55,0,3
"Gansu","total","Feb-04-2020",57,0,4
"Gansu","total","Feb-05-2020",62,0,6
"Gansu","total","Feb-06-2020",67,0,9
"Gansu","total","Feb-07-2020",71,1,9
"Gansu","total","Feb-08-2020",79,1,12
"Gansu","total","Feb-09-2020",83,2,16
"Gansu","total","Feb-10-2020",86,2,21
"Gansu","total","Feb-11-2020",86,2,24
"Gansu","total","Feb-12-2020",87,2,34
"Gansu","total","Feb-13-2020",90,2,39
"Gansu","total","Feb-14-2020",90,2,39
"Gansu","total","Feb-15-2020",90,2,49
"Gansu","total","Feb-16-2020",90,2,54
"Gansu","total","Feb-17-2020",91,2,58
"Gansu","total","Feb-18-2020",91,2,62
"Gansu","total","Feb-19-2020",91,2,65
"Gansu","total","Feb-20-2020",91,2,71
