"province","city","date","infected","dead","recovered"
"Guangdong","total","Jan-11-2020",0,0,0
"Guangdong","total","Jan-16-2020",0,0,0
"Guangdong","total","Jan-17-2020",0,0,0
"Guangdong","total","Jan-18-2020",0,0,0
"Guangdong","total","Jan-20-2020",14,0,0
"Guangdong","total","Jan-21-2020",26,0,0
"Guangdong","total","Jan-22-2020",32,0,0
"Guangdong","total","Jan-23-2020",53,0,2
"Guangdong","total","Jan-24-2020",78,0,2
"Guangdong","total","Jan-25-2020",98,0,2
"Guangdong","total","Jan-26-2020",146,0,2
"Guangdong","total","Jan-27-2020",188,0,4
"Guangdong","total","Jan-28-2020",207,0,4
"Guangdong","total","Jan-29-2020",311,0,6
"Guangdong","total","Jan-30-2020",393,0,9
"Guangdong","total","Jan-31-2020",520,0,10
"Guangdong","total","Feb-01-2020",604,0,12
"Guangdong","total","Feb-02-2020",683,0,14
"Guangdong","total","Feb-03-2020",797,0,20
"Guangdong","total","Feb-04-2020",870,0,32
"Guangdong","total","Feb-05-2020",944,0,49
"Guangdong","total","Feb-06-2020",1018,1,69
"Guangdong","total","Feb-07-2020",1075,1,98
"Guangdong","total","Feb-08-2020",1120,1,125
"Guangdong","total","Feb-09-2020",1151,1,147
"Guangdong","total","Feb-10-2020",1177,1,185
"Guangdong","total","Feb-11-2020",1219,1,241
"Guangdong","total","Feb-12-2020",1241,2,289
"Guangdong","total","Feb-13-2020",1261,2,340
"Guangdong","total","Feb-14-2020",1294,2,393
"Guangdong","total","Feb-15-2020",1316,2,444
"Guangdong","total","Feb-16-2020",1322,4,486
"Guangdong","total","Feb-17-2020",1328,4,547
"Guangdong","total","Feb-18-2020",1331,5,571
"Guangdong","total","Feb-19-2020",1332,5,619
"Guangdong","total","Feb-20-2020",1333,5,664
