"province","city","date","infected","dead","recovered"
"Guangxi","total","Jan-11-2020",0,0,0
"Guangxi","total","Jan-16-2020",0,0,0
"Guangxi","total","Jan-17-2020",0,0,0
"Guangxi","total","Jan-18-2020",0,0,0
"Guangxi","total","Jan-20-2020",0,0,0
"Guangxi","total","Jan-21-2020",0,0,0
"Guangxi","total","Jan-22-2020",5,0,0
"Guangxi","total","Jan-23-2020",13,0,0
"Guangxi","total","Jan-24-2020",23,0,0
"Guangxi","total","Jan-25-2020",33,0,0
"Guangxi","total","Jan-26-2020",46,0,0
"Guangxi","total","Jan-27-2020",51,0,0
"Guangxi","total","Jan-28-2020",58,0,2
"Guangxi","total","Jan-29-2020",78,0,2
"Guangxi","total","Jan-30-2020",87,0,2
"Guangxi","total","Jan-31-2020",100,0,2
"Guangxi","total","Feb-01-2020",111,0,2
"Guangxi","total","Feb-02-2020",127,0,2
"Guangxi","total","Feb-03-2020",139,0,7
"Guangxi","total","Feb-04-2020",150,0,10
"Guangxi","total","Feb-05-2020",168,0,13
"Guangxi","total","Feb-06-2020",172,0,17
"Guangxi","total","Feb-07-2020",183,0,17
"Guangxi","total","Feb-08-2020",195,1,18
"Guangxi","total","Feb-09-2020",210,1,18
"Guangxi","total","Feb-10-2020",215,1,30
"Guangxi","total","Feb-11-2020",222,1,31
"Guangxi","total","Feb-12-2020",222,2,33
"Guangxi","total","Feb-13-2020",226,2,35
"Guangxi","total","Feb-14-2020",235,2,40
"Guangxi","total","Feb-15-2020",237,2,46
"Guangxi","total","Feb-16-2020",238,2,51
"Guangxi","total","Feb-17-2020",242,2,67
"Guangxi","total","Feb-18-2020",244,2,76
"Guangxi","total","Feb-19-2020",245,2,87
"Guangxi","total","Feb-20-2020",246,2,95
