"province","city","date","infected","dead","recovered"
"Hainan","total","Jan-11-2020",0,0,0
"Hainan","total","Jan-16-2020",0,0,0
"Hainan","total","Jan-17-2020",0,0,0
"Hainan","total","Jan-18-2020",0,0,0
"Hainan","total","Jan-20-2020",0,0,0
"Hainan","total","Jan-21-2020",0,0,0
"Hainan","total","Jan-22-2020",5,0,0
"Hainan","total","Jan-23-2020",8,0,0
"Hainan","total","Jan-24-2020",17,0,0
"Hainan","total","Jan-25-2020",22,0,0
"Hainan","total","Jan-26-2020",31,0,0
"Hainan","total","Jan-27-2020",40,1,0
"Hainan","total","Jan-28-2020",43,1,0
"Hainan","total","Jan-29-2020",46,1,1
"Hainan","total","Jan-30-2020",49,1,1
"Hainan","total","Jan-31-2020",57,1,1
"Hainan","total","Feb-01-2020",63,1,1
"Hainan","total","Feb-02-2020",70,1,4
"Hainan","total","Feb-03-2020",79,1,4
"Hainan","total","Feb-04-2020",89,1,4
"Hainan","total","Feb-05-2020",100,1,5
"Hainan","total","Feb-06-2020",114,2,8
"Hainan","total","Feb-07-2020",124,2,11
"Hainan","total","Feb-08-2020",128,2,15
"Hainan","total","Feb-09-2020",136,3,19
"Hainan","total","Feb-10-2020",142,3,19
"Hainan","total","Feb-11-2020",151,3,20
"Hainan","total","Feb-12-2020",157,4,27
"Hainan","total","Feb-13-2020",158,4,30
"Hainan","total","Feb-14-2020",162,4,38
"Hainan","total","Feb-15-2020",162,4,39
"Hainan","total","Feb-16-2020",163,4,52
"Hainan","total","Feb-17-2020",163,4,67
"Hainan","total","Feb-18-2020",163,4,79
"Hainan","total","Feb-19-2020",168,4,84
"Hainan","total","Feb-20-2020",168,4,89
