"province","city","date","infected","dead","recovered"
"Hebei","total","Jan-11-2020",0,0,0
"Hebei","total","Jan-16-2020",0,0,0
"Hebei","total","Jan-17-2020",0,0,0
"Hebei","total","Jan-18-2020",0,0,0
"Hebei","total","Jan-20-2020",0,0,0
"Hebei","total","Jan-21-2020",0,0,0
"Hebei","total","Jan-22-2020",1,0,0
"Hebei","total","Jan-23-2020",2,1,0
"Hebei","total","Jan-24-2020",8,1,0
"Hebei","total","Jan-25-2020",13,1,0
"Hebei","total","Jan-26-2020",18,1,0
"Hebei","total","Jan-27-2020",33,1,0
"Hebei","total","Jan-28-2020",48,1,0
"Hebei","total","Jan-29-2020",65,1,0
"Hebei","total","Jan-30-2020",82,1,0
"Hebei","total","Jan-31-2020",96,1,0
"Hebei","total","Feb-01-2020",104,1,3
"Hebei","total","Feb-02-2020",113,1,3
"Hebei","total","Feb-03-2020",126,1,3
"Hebei","total","Feb-04-2020",135,1,4
"Hebei","total","Feb-05-2020",157,1,7
"Hebei","total","Feb-06-2020",171,1,16
"Hebei","total","Feb-07-2020",195,1,25
"Hebei","total","Feb-08-2020",206,2,30
"Hebei","total","Feb-09-2020",218,2,35
"Hebei","total","Feb-10-2020",239,2,41
"Hebei","total","Feb-11-2020",251,2,49
"Hebei","total","Feb-12-2020",265,3,66
"Hebei","total","Feb-13-2020",283,3,72
"Hebei","total","Feb-14-2020",291,3,87
"Hebei","total","Feb-15-2020",300,3,101
"Hebei","total","Feb-16-2020",301,3,111
"Hebei","total","Feb-17-2020",302,4,127
"Hebei","total","Feb-18-2020",306,4,136
"Hebei","total","Feb-19-2020",307,5,152
"Hebei","total","Feb-20-2020",308,5,170
