"province","city","date","infected","dead","recovered"
"Heilongjiang","total","Jan-11-2020",0,0,0
"Heilongjiang","total","Jan-16-2020",0,0,0
"Heilongjiang","total","Jan-17-2020",0,0,0
"Heilongjiang","total","Jan-18-2020",0,0,0
"Heilongjiang","total","Jan-20-2020",0,0,0
"Heilongjiang","total","Jan-21-2020",0,0,0
"Heilongjiang","total","Jan-22-2020",1,0,0
"Heilongjiang","total","Jan-23-2020",4,1,0
"Heilongjiang","total","Jan-24-2020",9,1,0
"Heilongjiang","total","Jan-25-2020",15,1,0
"Heilongjiang","total","Jan-26-2020",21,1,0
"Heilongjiang","total","Jan-27-2020",30,1,0
"Heilongjiang","total","Jan-28-2020",37,1,0
"Heilongjiang","total","Jan-29-2020",43,1,0
"Heilongjiang","total","Jan-30-2020",59,2,0
"Heilongjiang","total","Jan-31-2020",80,2,0
"Heilongjiang","total","Feb-01-2020",95,2,2
"Heilongjiang","total","Feb-02-2020",115,2,2
"Heilongjiang","total","Feb-03-2020",149,2,2
"Heilongjiang","total","Feb-04-2020",181,2,4
"Heilongjiang","total","Feb-05-2020",215,3,7
"Heilongjiang","total","Feb-06-2020",263,3,8
"Heilongjiang","total","Feb-07-2020",281,5,12
"Heilongjiang","total","Feb-08-2020",307,6,13
"Heilongjiang","total","Feb-09-2020",331,7,15
"Heilongjiang","total","Feb-10-2020",360,8,27
"Heilongjiang","total","Feb-11-2020",378,8,28
"Heilongjiang","total","Feb-12-2020",395,9,32
"Heilongjiang","total","Feb-13-2020",418,11,37
"Heilongjiang","total","Feb-14-2020",425,11,48
"Heilongjiang","total","Feb-15-2020",445,11,73
"Heilongjiang","total","Feb-16-2020",457,11,85
"Heilongjiang","total","Feb-17-2020",464,11,105
"Heilongjiang","total","Feb-18-2020",470,12,108
"Heilongjiang","total","Feb-19-2020",476,12,123
"Heilongjiang","total","Feb-20-2020",479,12,141
