"province","city","date","infected","dead","recovered"
"Henan","total","Jan-11-2020",0,0,0
"Henan","total","Jan-16-2020",0,0,0
"Henan","total","Jan-17-2020",0,0,0
"Henan","total","Jan-18-2020",0,0,0
"Henan","total","Jan-20-2020",0,0,0
"Henan","total","Jan-21-2020",1,0,0
"Henan","total","Jan-22-2020",5,0,0
"Henan","total","Jan-23-2020",9,0,0
"Henan","total","Jan-24-2020",32,0,0
"Henan","total","Jan-25-2020",83,1,0
"Henan","total","Jan-26-2020",128,1,0
"Henan","total","Jan-27-2020",168,1,0
"Henan","total","Jan-28-2020",206,1,1
"Henan","total","Jan-29-2020",278,2,2
"Henan","total","Jan-30-2020",352,2,3
"Henan","total","Jan-31-2020",422,2,3
"Henan","total","Feb-01-2020",493,2,4
"Henan","total","Feb-02-2020",566,2,14
"Henan","total","Feb-03-2020",675,2,20
"Henan","total","Feb-04-2020",764,2,41
"Henan","total","Feb-05-2020",851,2,54
"Henan","total","Feb-06-2020",914,3,68
"Henan","total","Feb-07-2020",981,4,99
"Henan","total","Feb-08-2020",1033,6,131
"Henan","total","Feb-09-2020",1073,6,169
"Henan","total","Feb-10-2020",1105,7,205
"Henan","total","Feb-11-2020",1135,8,233
"Henan","total","Feb-12-2020",1169,10,274
"Henan","total","Feb-13-2020",1184,11,330
"Henan","total","Feb-14-2020",1212,13,371
"Henan","total","Feb-15-2020",1231,13,421
"Henan","total","Feb-16-2020",1246,16,487
"Henan","total","Feb-17-2020",1257,19,520
"Henan","total","Feb-18-2020",1262,19,552
"Henan","total","Feb-19-2020",1265,19,614
"Henan","total","Feb-20-2020",1267,19,717
