"province","city","date","infected","dead","recovered"
"Hubei","Huanggang","Jan-20-2020",12,0,0
"Hubei","Huanggang","Jan-21-2020",12,0,0
"Hubei","Huanggang","Jan-22-2020",12,0,0
"Hubei","Huanggang","Jan-23-2020",12,0,0
"Hubei","Huanggang","Jan-24-2020",64,0,0
"Hubei","Huanggang","Jan-25-2020",122,2,2
"Hubei","Huanggang","Jan-26-2020",154,4,2
"Hubei","Huanggang","Jan-27-2020",213,4,2
"Hubei","Huanggang","Jan-28-2020",324,5,2
"Hubei","Huanggang","Jan-29-2020",496,12,5
"Hubei","Huanggang","Jan-30-2020",573,12,6
"Hubei","Huanggang","Jan-31-2020",726,14,6
"Hubei","Huanggang","Feb-01-2020",1002,15,27
"Hubei","Huanggang","Feb-02-2020",1246,17,32
"Hubei","Huanggang","Feb-03-2020",1422,19,32
"Hubei","Huanggang","Feb-04-2020",1645,25,52
"Hubei","Huanggang","Feb-05-2020",1807,29,62
"Hubei","Huanggang","Feb-06-2020",1904,32,68
"Hubei","Huanggang","Feb-07-2020",2061,36,105
"Hubei","Huanggang","Feb-08-2020",2181,43,137
"Hubei","Huanggang","Feb-09-2020",2318,45,189
"Hubei","Huanggang","Feb-10-2020",2431,52,279
"Hubei","Huanggang","Feb-11-2020",2536,54,338
"Hubei","Huanggang","Feb-12-2020",2624,58,427
"Hubei","Huanggang","Feb-13-2020",2787,59,504
"Hubei","Huanggang","Feb-14-2020",2813,68,611
"Hubei","Huanggang","Feb-15-2020",2820,75,716
"Hubei","Huanggang","Feb-16-2020",2828,78,838
"Hubei","Huanggang","Feb-17-2020",2828,84,941
"Hubei","Huanggang","Feb-18-2020",2844,85,1059
"Hubei","Huanggang","Feb-19-2020",2866,87,1149
"Hubei","Huanggang","Feb-20-2020",2883,90,1274
