"province","city","date","infected","dead","recovered"
"Hubei","Huangshi","Jan-25-2020",31,1,0
"Hubei","Huangshi","Jan-26-2020",36,1,0
"Hubei","Huangshi","Jan-27-2020",53,1,0
"Hubei","Huangshi","Jan-28-2020",86,1,0
"Hubei","Huangshi","Jan-29-2020",113,1,0
"Hubei","Huangshi","Jan-30-2020",168,1,0
"Hubei","Huangshi","Jan-31-2020",209,2,0
"Hubei","Huangshi","Feb-01-2020",252,2,1
"Hubei","Huangshi","Feb-02-2020",334,2,8
"Hubei","Huangshi","Feb-03-2020",405,2,8
"Hubei","Huangshi","Feb-04-2020",509,2,17
"Hubei","Huangshi","Feb-05-2020",566,2,25
"Hubei","Huangshi","Feb-06-2020",635,2,31
"Hubei","Huangshi","Feb-07-2020",703,2,43
"Hubei","Huangshi","Feb-08-2020",760,2,54
"Hubei","Huangshi","Feb-09-2020",805,3,67
"Hubei","Huangshi","Feb-10-2020",835,5,82
"Hubei","Huangshi","Feb-11-2020",874,6,96
"Hubei","Huangshi","Feb-12-2020",911,9,115
"Hubei","Huangshi","Feb-13-2020",943,11,137
"Hubei","Huangshi","Feb-14-2020",973,13,170
"Hubei","Huangshi","Feb-15-2020",981,14,192
"Hubei","Huangshi","Feb-16-2020",981,15,206
"Hubei","Huangshi","Feb-17-2020",983,20,238
"Hubei","Huangshi","Feb-18-2020",983,25,262
"Hubei","Huangshi","Feb-19-2020",985,26,299
"Hubei","Huangshi","Feb-20-2020",992,27,339
