"province","city","date","infected","dead","recovered"
"Hubei","total","Jan-11-2020",41,0,6
"Hubei","total","Jan-16-2020",45,0,6
"Hubei","total","Jan-17-2020",62,0,6
"Hubei","total","Jan-18-2020",121,0,6
"Hubei","total","Jan-20-2020",270,6,25
"Hubei","total","Jan-21-2020",375,9,25
"Hubei","total","Jan-22-2020",444,17,28
"Hubei","total","Jan-23-2020",571,24,31
"Hubei","total","Jan-24-2020",729,39,32
"Hubei","total","Jan-25-2020",1052,52,42
"Hubei","total","Jan-26-2020",1423,76,44
"Hubei","total","Jan-27-2020",2714,100,47
"Hubei","total","Jan-28-2020",3554,125,80
"Hubei","total","Jan-29-2020",4586,162,90
"Hubei","total","Jan-30-2020",5806,204,116
"Hubei","total","Jan-31-2020",7153,249,166
"Hubei","total","Feb-01-2020",9074,294,215
"Hubei","total","Feb-02-2020",11177,350,295
"Hubei","total","Feb-03-2020",13522,414,386
"Hubei","total","Feb-04-2020",16678,479,520
"Hubei","total","Feb-05-2020",19665,549,651
"Hubei","total","Feb-06-2020",22550,618,818
"Hubei","total","Feb-07-2020",26267,699,1119
"Hubei","total","Feb-08-2020",29728,780,1440
"Hubei","total","Feb-09-2020",34011,871,1795
"Hubei","total","Feb-10-2020",38299,974,2222
"Hubei","total","Feb-11-2020",42566,1068,2639
"Hubei","total","Feb-12-2020",48206,1310,3451
"Hubei","total","Feb-13-2020",51986,1318,3862
"Hubei","total","Feb-14-2020",54406,1457,4774
"Hubei","total","Feb-15-2020",56249,1596,5623
"Hubei","total","Feb-16-2020",58182,1696,6642
"Hubei","total","Feb-17-2020",59989,1789,7902
"Hubei","total","Feb-18-2020",61682,1921,9128
"Hubei","total","Feb-19-2020",62031,2029,10337
"Hubei","total","Feb-20-2020",62442,2144,11788
