"province","city","date","infected","dead","recovered"
"Hunan","total","Jan-11-2020",0,0,0
"Hunan","total","Jan-16-2020",0,0,0
"Hunan","total","Jan-17-2020",0,0,0
"Hunan","total","Jan-18-2020",0,0,0
"Hunan","total","Jan-20-2020",0,0,0
"Hunan","total","Jan-21-2020",1,0,0
"Hunan","total","Jan-22-2020",4,0,0
"Hunan","total","Jan-23-2020",24,0,0
"Hunan","total","Jan-24-2020",43,0,0
"Hunan","total","Jan-25-2020",69,0,0
"Hunan","total","Jan-26-2020",100,0,0
"Hunan","total","Jan-27-2020",143,0,0
"Hunan","total","Jan-28-2020",221,0,0
"Hunan","total","Jan-29-2020",277,0,0
"Hunan","total","Jan-30-2020",332,0,2
"Hunan","total","Jan-31-2020",389,0,2
"Hunan","total","Feb-01-2020",463,0,8
"Hunan","total","Feb-02-2020",521,0,16
"Hunan","total","Feb-03-2020",593,0,22
"Hunan","total","Feb-04-2020",661,0,35
"Hunan","total","Feb-05-2020",711,0,56
"Hunan","total","Feb-06-2020",772,0,91
"Hunan","total","Feb-07-2020",803,0,119
"Hunan","total","Feb-08-2020",838,1,159
"Hunan","total","Feb-09-2020",879,1,186
"Hunan","total","Feb-10-2020",912,1,222
"Hunan","total","Feb-11-2020",946,2,263
"Hunan","total","Feb-12-2020",968,2,330
"Hunan","total","Feb-13-2020",988,2,352
"Hunan","total","Feb-14-2020",1001,2,398
"Hunan","total","Feb-15-2020",1004,3,449
"Hunan","total","Feb-16-2020",1006,3,491
"Hunan","total","Feb-17-2020",1007,4,518
"Hunan","total","Feb-18-2020",1008,4,542
"Hunan","total","Feb-19-2020",1010,4,578
"Hunan","total","Feb-20-2020",1011,4,638
