"province","city","date","infected","dead","recovered"
"Jiangsu","total","Jan-11-2020",0,0,0
"Jiangsu","total","Jan-16-2020",0,0,0
"Jiangsu","total","Jan-17-2020",0,0,0
"Jiangsu","total","Jan-18-2020",0,0,0
"Jiangsu","total","Jan-20-2020",0,0,0
"Jiangsu","total","Jan-21-2020",0,0,0
"Jiangsu","total","Jan-22-2020",1,0,0
"Jiangsu","total","Jan-23-2020",9,0,0
"Jiangsu","total","Jan-24-2020",18,0,1
"Jiangsu","total","Jan-25-2020",31,0,1
"Jiangsu","total","Jan-26-2020",47,0,1
"Jiangsu","total","Jan-27-2020",70,0,1
"Jiangsu","total","Jan-28-2020",99,0,1
"Jiangsu","total","Jan-29-2020",129,0,1
"Jiangsu","total","Jan-30-2020",168,0,2
"Jiangsu","total","Jan-31-2020",202,0,5
"Jiangsu","total","Feb-01-2020",236,0,6
"Jiangsu","total","Feb-02-2020",271,0,7
"Jiangsu","total","Feb-03-2020",308,0,8
"Jiangsu","total","Feb-04-2020",341,0,13
"Jiangsu","total","Feb-05-2020",373,0,29
"Jiangsu","total","Feb-06-2020",408,0,38
"Jiangsu","total","Feb-07-2020",439,0,43
"Jiangsu","total","Feb-08-2020",468,0,58
"Jiangsu","total","Feb-09-2020",492,0,72
"Jiangsu","total","Feb-10-2020",515,0,84
"Jiangsu","total","Feb-11-2020",543,0,106
"Jiangsu","total","Feb-12-2020",570,0,133
"Jiangsu","total","Feb-13-2020",593,0,141
"Jiangsu","total","Feb-14-2020",604,0,171
"Jiangsu","total","Feb-15-2020",617,0,207
"Jiangsu","total","Feb-16-2020",626,0,248
"Jiangsu","total","Feb-17-2020",629,0,276
"Jiangsu","total","Feb-18-2020",631,0,296
"Jiangsu","total","Feb-19-2020",631,0,325
"Jiangsu","total","Feb-20-2020",631,0,352
