"province","city","date","infected","dead","recovered"
"Jiangxi","total","Jan-11-2020",0,0,0
"Jiangxi","total","Jan-16-2020",0,0,0
"Jiangxi","total","Jan-17-2020",0,0,0
"Jiangxi","total","Jan-18-2020",0,0,0
"Jiangxi","total","Jan-20-2020",0,0,0
"Jiangxi","total","Jan-21-2020",2,0,0
"Jiangxi","total","Jan-22-2020",3,0,0
"Jiangxi","total","Jan-23-2020",7,0,0
"Jiangxi","total","Jan-24-2020",18,0,0
"Jiangxi","total","Jan-25-2020",36,0,0
"Jiangxi","total","Jan-26-2020",48,0,1
"Jiangxi","total","Jan-27-2020",72,0,2
"Jiangxi","total","Jan-28-2020",109,0,3
"Jiangxi","total","Jan-29-2020",162,0,5
"Jiangxi","total","Jan-30-2020",240,0,7
"Jiangxi","total","Jan-31-2020",286,0,9
"Jiangxi","total","Feb-01-2020",333,0,10
"Jiangxi","total","Feb-02-2020",391,0,18
"Jiangxi","total","Feb-03-2020",476,0,19
"Jiangxi","total","Feb-04-2020",548,0,27
"Jiangxi","total","Feb-05-2020",600,0,37
"Jiangxi","total","Feb-06-2020",661,0,45
"Jiangxi","total","Feb-07-2020",698,0,55
"Jiangxi","total","Feb-08-2020",740,0,72
"Jiangxi","total","Feb-09-2020",771,1,102
"Jiangxi","total","Feb-10-2020",804,1,127
"Jiangxi","total","Feb-11-2020",844,1,152
"Jiangxi","total","Feb-12-2020",872,1,170
"Jiangxi","total","Feb-13-2020",900,1,187
"Jiangxi","total","Feb-14-2020",913,1,210
"Jiangxi","total","Feb-15-2020",925,1,239
"Jiangxi","total","Feb-16-2020",930,1,275
"Jiangxi","total","Feb-17-2020",933,1,310
"Jiangxi","total","Feb-18-2020",934,1,362
"Jiangxi","total","Feb-19-2020",934,1,432
"Jiangxi","total","Feb-20-2020",934,1,489
