"province","city","date","infected","dead","recovered"
"Jilin","total","Jan-11-2020",0,0,0
"Jilin","total","Jan-16-2020",0,0,0
"Jilin","total","Jan-17-2020",0,0,0
"Jilin","total","Jan-18-2020",0,0,0
"Jilin","total","Jan-20-2020",0,0,0
"Jilin","total","Jan-21-2020",0,0,0
"Jilin","total","Jan-22-2020",0,0,0
"Jilin","total","Jan-23-2020",1,0,0
"Jilin","total","Jan-24-2020",3,0,0
"Jilin","total","Jan-25-2020",4,0,0
"Jilin","total","Jan-26-2020",6,0,0
"Jilin","total","Jan-27-2020",8,0,0
"Jilin","total","Jan-28-2020",9,0,0
"Jilin","total","Jan-29-2020",14,0,1
"Jilin","total","Jan-30-2020",14,0,1
"Jilin","total","Jan-31-2020",17,0,1
"Jilin","total","Feb-01-2020",23,0,1
"Jilin","total","Feb-02-2020",31,0,1
"Jilin","total","Feb-03-2020",42,0,1
"Jilin","total","Feb-04-2020",54,0,1
"Jilin","total","Feb-05-2020",59,0,2
"Jilin","total","Feb-06-2020",65,1,4
"Jilin","total","Feb-07-2020",69,1,4
"Jilin","total","Feb-08-2020",78,1,5
"Jilin","total","Feb-09-2020",80,1,12
"Jilin","total","Feb-10-2020",81,1,13
"Jilin","total","Feb-11-2020",83,1,18
"Jilin","total","Feb-12-2020",84,1,22
"Jilin","total","Feb-13-2020",86,1,25
"Jilin","total","Feb-14-2020",88,1,25
"Jilin","total","Feb-15-2020",89,1,28
"Jilin","total","Feb-16-2020",89,1,30
"Jilin","total","Feb-17-2020",89,1,36
"Jilin","total","Feb-18-2020",90,1,36
"Jilin","total","Feb-19-2020",91,1,40
"Jilin","total","Feb-20-2020",91,1,44
