"province","city","date","infected","dead","recovered"
"Hubei","Jingmen","Jan-22-2020",1,0,0
"Hubei","Jingmen","Jan-23-2020",8,0,0
"Hubei","Jingmen","Jan-24-2020",21,0,0
"Hubei","Jingmen","Jan-25-2020",38,1,0
"Hubei","Jingmen","Jan-26-2020",90,3,0
"Hubei","Jingmen","Jan-27-2020",114,3,0
"Hubei","Jingmen","Jan-28-2020",142,4,0
"Hubei","Jingmen","Jan-29-2020",191,4,0
"Hubei","Jingmen","Jan-30-2020",227,5,0
"Hubei","Jingmen","Jan-31-2020",251,5,6
"Hubei","Jingmen","Feb-01-2020",329,7,3
"Hubei","Jingmen","Feb-02-2020",345,11,6
"Hubei","Jingmen","Feb-03-2020",400,14,6
"Hubei","Jingmen","Feb-04-2020",422,16,16
"Hubei","Jingmen","Feb-05-2020",508,17,21
"Hubei","Jingmen","Feb-06-2020",557,17,24
"Hubei","Jingmen","Feb-07-2020",601,18,36
"Hubei","Jingmen","Feb-08-2020",689,19,48
"Hubei","Jingmen","Feb-09-2020",685,20,63
"Hubei","Jingmen","Feb-10-2020",722,21,69
"Hubei","Jingmen","Feb-11-2020",789,24,81
"Hubei","Jingmen","Feb-12-2020",850,24,92
"Hubei","Jingmen","Feb-13-2020",871,25,105
"Hubei","Jingmen","Feb-14-2020",877,28,112
"Hubei","Jingmen","Feb-15-2020",894,30,117
"Hubei","Jingmen","Feb-16-2020",900,33,132
"Hubei","Jingmen","Feb-17-2020",900,33,143
"Hubei","Jingmen","Feb-18-2020",901,33,181
"Hubei","Jingmen","Feb-19-2020",906,34,201
"Hubei","Jingmen","Feb-20-2020",912,37,229
