"province","city","date","infected","dead","recovered"
"Hubei","Jingzhou","Jan-22-2020",6,0,0
"Hubei","Jingzhou","Jan-23-2020",8,0,0
"Hubei","Jingzhou","Jan-24-2020",10,0,0
"Hubei","Jingzhou","Jan-25-2020",33,2,0
"Hubei","Jingzhou","Jan-26-2020",47,2,0
"Hubei","Jingzhou","Jan-27-2020",71,2,1
"Hubei","Jingzhou","Jan-28-2020",101,2,1
"Hubei","Jingzhou","Jan-29-2020",151,3,1
"Hubei","Jingzhou","Jan-30-2020",221,3,1
"Hubei","Jingzhou","Jan-31-2020",287,4,0
"Hubei","Jingzhou","Feb-01-2020",333,4,2
"Hubei","Jingzhou","Feb-02-2020",499,6,4
"Hubei","Jingzhou","Feb-03-2020",613,7,6
"Hubei","Jingzhou","Feb-04-2020",713,9,10
"Hubei","Jingzhou","Feb-05-2020",801,10,18
"Hubei","Jingzhou","Feb-06-2020",893,10,23
"Hubei","Jingzhou","Feb-07-2020",966,11,30
"Hubei","Jingzhou","Feb-08-2020",1047,13,34
"Hubei","Jingzhou","Feb-09-2020",1129,15,45
"Hubei","Jingzhou","Feb-10-2020",1201,17,55
"Hubei","Jingzhou","Feb-11-2020",1287,21,79
"Hubei","Jingzhou","Feb-12-2020",1381,23,102
"Hubei","Jingzhou","Feb-13-2020",1435,27,158
"Hubei","Jingzhou","Feb-14-2020",1478,32,192
"Hubei","Jingzhou","Feb-15-2020",1490,36,263
"Hubei","Jingzhou","Feb-16-2020",1501,37,305
"Hubei","Jingzhou","Feb-17-2020",1537,38,339
"Hubei","Jingzhou","Feb-18-2020",1541,38,409
"Hubei","Jingzhou","Feb-19-2020",1553,40,451
"Hubei","Jingzhou","Feb-20-2020",1560,40,531
