"province","city","date","infected","dead","recovered"
"Liaoning","total","Jan-11-2020",0,0,0
"Liaoning","total","Jan-16-2020",0,0,0
"Liaoning","total","Jan-17-2020",0,0,0
"Liaoning","total","Jan-18-2020",0,0,0
"Liaoning","total","Jan-20-2020",0,0,0
"Liaoning","total","Jan-21-2020",0,0,0
"Liaoning","total","Jan-22-2020",2,0,0
"Liaoning","total","Jan-23-2020",4,0,0
"Liaoning","total","Jan-24-2020",12,0,0
"Liaoning","total","Jan-25-2020",19,0,0
"Liaoning","total","Jan-26-2020",22,0,0
"Liaoning","total","Jan-27-2020",30,0,0
"Liaoning","total","Jan-28-2020",34,0,0
"Liaoning","total","Jan-29-2020",41,0,1
"Liaoning","total","Jan-30-2020",45,0,1
"Liaoning","total","Jan-31-2020",60,0,1
"Liaoning","total","Feb-01-2020",64,0,1
"Liaoning","total","Feb-02-2020",70,0,1
"Liaoning","total","Feb-03-2020",74,0,1
"Liaoning","total","Feb-04-2020",81,0,2
"Liaoning","total","Feb-05-2020",89,0,4
"Liaoning","total","Feb-06-2020",94,0,5
"Liaoning","total","Feb-07-2020",99,0,7
"Liaoning","total","Feb-08-2020",105,0,8
"Liaoning","total","Feb-09-2020",107,0,12
"Liaoning","total","Feb-10-2020",108,0,13
"Liaoning","total","Feb-11-2020",116,0,19
"Liaoning","total","Feb-12-2020",116,1,21
"Liaoning","total","Feb-13-2020",117,1,24
"Liaoning","total","Feb-14-2020",119,1,29
"Liaoning","total","Feb-15-2020",120,1,35
"Liaoning","total","Feb-16-2020",121,1,41
"Liaoning","total","Feb-17-2020",121,1,46
"Liaoning","total","Feb-18-2020",121,1,55
"Liaoning","total","Feb-19-2020",121,1,58
"Liaoning","total","Feb-20-2020",121,1,61
