"province","city","date","infected","dead","recovered"
"Neimenggu","total","Jan-11-2020",0,0,0
"Neimenggu","total","Jan-16-2020",0,0,0
"Neimenggu","total","Jan-17-2020",0,0,0
"Neimenggu","total","Jan-18-2020",0,0,0
"Neimenggu","total","Jan-20-2020",0,0,0
"Neimenggu","total","Jan-21-2020",0,0,0
"Neimenggu","total","Jan-22-2020",0,0,0
"Neimenggu","total","Jan-23-2020",0,0,0
"Neimenggu","total","Jan-24-2020",1,0,0
"Neimenggu","total","Jan-25-2020",7,0,0
"Neimenggu","total","Jan-26-2020",11,0,0
"Neimenggu","total","Jan-27-2020",13,0,0
"Neimenggu","total","Jan-28-2020",15,0,0
"Neimenggu","total","Jan-29-2020",18,0,0
"Neimenggu","total","Jan-30-2020",19,0,0
"Neimenggu","total","Jan-31-2020",20,0,1
"Neimenggu","total","Feb-01-2020",23,0,1
"Neimenggu","total","Feb-02-2020",27,0,1
"Neimenggu","total","Feb-03-2020",34,0,1
"Neimenggu","total","Feb-04-2020",42,0,1
"Neimenggu","total","Feb-05-2020",46,0,4
"Neimenggu","total","Feb-06-2020",50,0,4
"Neimenggu","total","Feb-07-2020",52,0,5
"Neimenggu","total","Feb-08-2020",54,0,5
"Neimenggu","total","Feb-09-2020",58,0,5
"Neimenggu","total","Feb-10-2020",58,0,5
"Neimenggu","total","Feb-11-2020",60,0,5
"Neimenggu","total","Feb-12-2020",61,0,6
"Neimenggu","total","Feb-13-2020",65,0,6
"Neimenggu","total","Feb-14-2020",68,0,6
"Neimenggu","total","Feb-15-2020",70,0,7
"Neimenggu","total","Feb-16-2020",72,0,8
"Neimenggu","total","Feb-17-2020",73,0,8
"Neimenggu","total","Feb-18-2020",75,0,9
"Neimenggu","total","Feb-19-2020",75,0,11
"Neimenggu","total","Feb-20-2020",75,0,16
