"province","city","date","infected","dead","recovered"
"Ningxia","total","Jan-11-2020",0,0,0
"Ningxia","total","Jan-16-2020",0,0,0
"Ningxia","total","Jan-17-2020",0,0,0
"Ningxia","total","Jan-18-2020",0,0,0
"Ningxia","total","Jan-20-2020",0,0,0
"Ningxia","total","Jan-21-2020",0,0,0
"Ningxia","total","Jan-22-2020",1,0,0
"Ningxia","total","Jan-23-2020",1,0,0
"Ningxia","total","Jan-24-2020",2,0,0
"Ningxia","total","Jan-25-2020",4,0,0
"Ningxia","total","Jan-26-2020",4,0,0
"Ningxia","total","Jan-27-2020",11,0,0
"Ningxia","total","Jan-28-2020",11,0,0
"Ningxia","total","Jan-29-2020",17,0,0
"Ningxia","total","Jan-30-2020",21,0,0
"Ningxia","total","Jan-31-2020",26,0,0
"Ningxia","total","Feb-01-2020",28,0,0
"Ningxia","total","Feb-02-2020",31,0,0
"Ningxia","total","Feb-03-2020",34,0,1
"Ningxia","total","Feb-04-2020",34,0,1
"Ningxia","total","Feb-05-2020",40,0,1
"Ningxia","total","Feb-06-2020",43,0,1
"Ningxia","total","Feb-07-2020",45,0,5
"Ningxia","total","Feb-08-2020",45,0,13
"Ningxia","total","Feb-09-2020",49,0,13
"Ningxia","total","Feb-10-2020",53,0,14
"Ningxia","total","Feb-11-2020",58,0,22
"Ningxia","total","Feb-12-2020",64,0,24
"Ningxia","total","Feb-13-2020",67,0,24
"Ningxia","total","Feb-14-2020",70,0,27
"Ningxia","total","Feb-15-2020",70,0,33
"Ningxia","total","Feb-16-2020",70,0,33
"Ningxia","total","Feb-17-2020",70,0,35
"Ningxia","total","Feb-18-2020",71,0,42
"Ningxia","total","Feb-19-2020",71,0,42
"Ningxia","total","Feb-20-2020",71,0,44
