"province","city","date","infected","dead","recovered"
"Qinghai","total","Jan-11-2020",0,0,0
"Qinghai","total","Jan-16-2020",0,0,0
"Qinghai","total","Jan-17-2020",0,0,0
"Qinghai","total","Jan-18-2020",0,0,0
"Qinghai","total","Jan-20-2020",0,0,0
"Qinghai","total","Jan-21-2020",0,0,0
"Qinghai","total","Jan-22-2020",0,0,0
"Qinghai","total","Jan-23-2020",0,0,0
"Qinghai","total","Jan-24-2020",0,0,0
"Qinghai","total","Jan-25-2020",2,0,0
"Qinghai","total","Jan-26-2020",4,0,0
"Qinghai","total","Jan-27-2020",6,0,0
"Qinghai","total","Jan-28-2020",6,0,0
"Qinghai","total","Jan-29-2020",6,0,0
"Qinghai","total","Jan-30-2020",8,0,0
"Qinghai","total","Jan-31-2020",9,0,0
"Qinghai","total","Feb-01-2020",9,0,0
"Qinghai","total","Feb-02-2020",13,0,0
"Qinghai","total","Feb-03-2020",15,0,0
"Qinghai","total","Feb-04-2020",17,0,0
"Qinghai","total","Feb-05-2020",18,0,3
"Qinghai","total","Feb-06-2020",18,0,3
"Qinghai","total","Feb-07-2020",18,0,3
"Qinghai","total","Feb-08-2020",18,0,3
"Qinghai","total","Feb-09-2020",18,0,3
"Qinghai","total","Feb-10-2020",18,0,3
"Qinghai","total","Feb-11-2020",18,0,5
"Qinghai","total","Feb-12-2020",18,0,11
"Qinghai","total","Feb-13-2020",18,0,11
"Qinghai","total","Feb-14-2020",18,0,11
"Qinghai","total","Feb-15-2020",18,0,13
"Qinghai","total","Feb-16-2020",18,0,13
"Qinghai","total","Feb-17-2020",18,0,15
"Qinghai","total","Feb-18-2020",18,0,15
"Qinghai","total","Feb-19-2020",18,0,16
"Qinghai","total","Feb-20-2020",18,0,16
