"province","city","date","infected","dead","recovered"
"Shaanxi","total","Jan-11-2020",0,0,0
"Shaanxi","total","Jan-16-2020",0,0,0
"Shaanxi","total","Jan-17-2020",0,0,0
"Shaanxi","total","Jan-18-2020",0,0,0
"Shaanxi","total","Jan-20-2020",0,0,0
"Shaanxi","total","Jan-21-2020",0,0,0
"Shaanxi","total","Jan-22-2020",0,0,0
"Shaanxi","total","Jan-23-2020",3,0,0
"Shaanxi","total","Jan-24-2020",15,0,0
"Shaanxi","total","Jan-25-2020",22,0,0
"Shaanxi","total","Jan-26-2020",35,0,0
"Shaanxi","total","Jan-27-2020",46,0,0
"Shaanxi","total","Jan-28-2020",56,0,0
"Shaanxi","total","Jan-29-2020",63,0,0
"Shaanxi","total","Jan-30-2020",87,0,0
"Shaanxi","total","Jan-31-2020",101,0,0
"Shaanxi","total","Feb-01-2020",116,0,0
"Shaanxi","total","Feb-02-2020",128,0,0
"Shaanxi","total","Feb-03-2020",142,0,1
"Shaanxi","total","Feb-04-2020",165,0,2
"Shaanxi","total","Feb-05-2020",173,0,6
"Shaanxi","total","Feb-06-2020",184,0,11
"Shaanxi","total","Feb-07-2020",195,0,17
"Shaanxi","total","Feb-08-2020",208,0,25
"Shaanxi","total","Feb-09-2020",213,0,26
"Shaanxi","total","Feb-10-2020",219,0,31
"Shaanxi","total","Feb-11-2020",225,0,36
"Shaanxi","total","Feb-12-2020",229,0,45
"Shaanxi","total","Feb-13-2020",230,0,49
"Shaanxi","total","Feb-14-2020",232,0,54
"Shaanxi","total","Feb-15-2020",236,0,64
"Shaanxi","total","Feb-16-2020",240,0,75
"Shaanxi","total","Feb-17-2020",240,0,84
"Shaanxi","total","Feb-18-2020",242,0,89
"Shaanxi","total","Feb-19-2020",245,1,105
"Shaanxi","total","Feb-20-2020",245,1,117
