"province","city","date","infected","dead","recovered"
"Shanghai","total","Jan-11-2020",0,0,0
"Shanghai","total","Jan-16-2020",0,0,0
"Shanghai","total","Jan-17-2020",0,0,0
"Shanghai","total","Jan-18-2020",0,0,0
"Shanghai","total","Jan-20-2020",2,0,0
"Shanghai","total","Jan-21-2020",9,0,0
"Shanghai","total","Jan-22-2020",16,0,0
"Shanghai","total","Jan-23-2020",20,0,0
"Shanghai","total","Jan-24-2020",33,0,1
"Shanghai","total","Jan-25-2020",40,1,1
"Shanghai","total","Jan-26-2020",53,1,1
"Shanghai","total","Jan-27-2020",66,1,3
"Shanghai","total","Jan-28-2020",80,1,4
"Shanghai","total","Jan-29-2020",101,1,5
"Shanghai","total","Jan-30-2020",128,1,5
"Shanghai","total","Jan-31-2020",153,1,9
"Shanghai","total","Feb-01-2020",177,1,10
"Shanghai","total","Feb-02-2020",193,1,10
"Shanghai","total","Feb-03-2020",208,1,10
"Shanghai","total","Feb-04-2020",233,1,12
"Shanghai","total","Feb-05-2020",254,1,25
"Shanghai","total","Feb-06-2020",269,1,25
"Shanghai","total","Feb-07-2020",281,1,30
"Shanghai","total","Feb-08-2020",292,1,41
"Shanghai","total","Feb-09-2020",295,1,44
"Shanghai","total","Feb-10-2020",302,1,48
"Shanghai","total","Feb-11-2020",306,1,57
"Shanghai","total","Feb-12-2020",315,1,62
"Shanghai","total","Feb-13-2020",318,1,90
"Shanghai","total","Feb-14-2020",326,1,124
"Shanghai","total","Feb-15-2020",328,1,140
"Shanghai","total","Feb-16-2020",332,1,161
"Shanghai","total","Feb-17-2020",333,1,177
"Shanghai","total","Feb-18-2020",333,1,177
"Shanghai","total","Feb-19-2020",333,2,186
"Shanghai","total","Feb-20-2020",334,2,199
