"province","city","date","infected","dead","recovered"
"Shanxi","total","Jan-11-2020",0,0,0
"Shanxi","total","Jan-16-2020",0,0,0
"Shanxi","total","Jan-17-2020",0,0,0
"Shanxi","total","Jan-18-2020",0,0,0
"Shanxi","total","Jan-20-2020",0,0,0
"Shanxi","total","Jan-21-2020",0,0,0
"Shanxi","total","Jan-22-2020",1,0,0
"Shanxi","total","Jan-23-2020",1,0,0
"Shanxi","total","Jan-24-2020",6,0,0
"Shanxi","total","Jan-25-2020",9,0,0
"Shanxi","total","Jan-26-2020",13,0,0
"Shanxi","total","Jan-27-2020",20,0,0
"Shanxi","total","Jan-28-2020",27,0,0
"Shanxi","total","Jan-29-2020",35,0,1
"Shanxi","total","Jan-30-2020",39,0,1
"Shanxi","total","Jan-31-2020",47,0,1
"Shanxi","total","Feb-01-2020",56,0,1
"Shanxi","total","Feb-02-2020",66,0,2
"Shanxi","total","Feb-03-2020",74,0,2
"Shanxi","total","Feb-04-2020",81,0,4
"Shanxi","total","Feb-05-2020",90,0,6
"Shanxi","total","Feb-06-2020",96,0,12
"Shanxi","total","Feb-07-2020",104,0,15
"Shanxi","total","Feb-08-2020",115,0,21
"Shanxi","total","Feb-09-2020",119,0,25
"Shanxi","total","Feb-10-2020",122,0,26
"Shanxi","total","Feb-11-2020",124,0,30
"Shanxi","total","Feb-12-2020",126,0,33
"Shanxi","total","Feb-13-2020",126,0,36
"Shanxi","total","Feb-14-2020",127,0,38
"Shanxi","total","Feb-15-2020",128,0,46
"Shanxi","total","Feb-16-2020",129,0,50
"Shanxi","total","Feb-17-2020",130,0,53
"Shanxi","total","Feb-18-2020",131,0,61
"Shanxi","total","Feb-19-2020",131,0,68
"Shanxi","total","Feb-20-2020",132,0,76
