"province","city","date","infected","dead","recovered"
"Hubei","Shiyan","Jan-23-2020",1,0,0
"Hubei","Shiyan","Jan-24-2020",5,0,0
"Hubei","Shiyan","Jan-25-2020",20,0,0
"Hubei","Shiyan","Jan-26-2020",40,0,0
"Hubei","Shiyan","Jan-27-2020",65,0,0
"Hubei","Shiyan","Jan-28-2020",88,0,0
"Hubei","Shiyan","Jan-29-2020",119,0,0
"Hubei","Shiyan","Jan-30-2020",150,0,0
"Hubei","Shiyan","Jan-31-2020",177,0,0
"Hubei","Shiyan","Feb-01-2020",212,0,0
"Hubei","Shiyan","Feb-02-2020",256,0,1
"Hubei","Shiyan","Feb-03-2020",291,0,2
"Hubei","Shiyan","Feb-04-2020",318,0,9
"Hubei","Shiyan","Feb-05-2020",353,0,14
"Hubei","Shiyan","Feb-06-2020",395,0,24
"Hubei","Shiyan","Feb-07-2020",438,0,33
"Hubei","Shiyan","Feb-08-2020",467,0,40
"Hubei","Shiyan","Feb-09-2020",481,0,46
"Hubei","Shiyan","Feb-10-2020",505,1,59
"Hubei","Shiyan","Feb-11-2020",536,1,70
"Hubei","Shiyan","Feb-12-2020",561,1,81
"Hubei","Shiyan","Feb-13-2020",585,2,89
"Hubei","Shiyan","Feb-14-2020",597,2,100
"Hubei","Shiyan","Feb-15-2020",602,2,116
"Hubei","Shiyan","Feb-16-2020",612,2,126
"Hubei","Shiyan","Feb-17-2020",626,2,144
"Hubei","Shiyan","Feb-18-2020",638,2,164
"Hubei","Shiyan","Feb-19-2020",643,2,187
"Hubei","Shiyan","Feb-20-2020",656,2,209
