"province","city","date","infected","dead","recovered"
"Sichuan","total","Jan-11-2020",0,0,0
"Sichuan","total","Jan-16-2020",0,0,0
"Sichuan","total","Jan-17-2020",0,0,0
"Sichuan","total","Jan-18-2020",0,0,0
"Sichuan","total","Jan-20-2020",0,0,0
"Sichuan","total","Jan-21-2020",2,0,0
"Sichuan","total","Jan-22-2020",5,0,0
"Sichuan","total","Jan-23-2020",15,0,0
"Sichuan","total","Jan-24-2020",28,0,0
"Sichuan","total","Jan-25-2020",44,0,0
"Sichuan","total","Jan-26-2020",69,0,0
"Sichuan","total","Jan-27-2020",90,0,0
"Sichuan","total","Jan-28-2020",108,0,0
"Sichuan","total","Jan-29-2020",142,1,1
"Sichuan","total","Jan-30-2020",177,1,1
"Sichuan","total","Jan-31-2020",207,1,3
"Sichuan","total","Feb-01-2020",231,1,3
"Sichuan","total","Feb-02-2020",254,1,12
"Sichuan","total","Feb-03-2020",282,1,14
"Sichuan","total","Feb-04-2020",301,1,23
"Sichuan","total","Feb-05-2020",321,1,27
"Sichuan","total","Feb-06-2020",344,1,37
"Sichuan","total","Feb-07-2020",363,1,51
"Sichuan","total","Feb-08-2020",386,1,60
"Sichuan","total","Feb-09-2020",405,1,76
"Sichuan","total","Feb-10-2020",417,1,84
"Sichuan","total","Feb-11-2020",436,1,87
"Sichuan","total","Feb-12-2020",451,1,101
"Sichuan","total","Feb-13-2020",463,1,105
"Sichuan","total","Feb-14-2020",470,1,116
"Sichuan","total","Feb-15-2020",481,3,130
"Sichuan","total","Feb-16-2020",495,3,146
"Sichuan","total","Feb-17-2020",508,3,168
"Sichuan","total","Feb-18-2020",514,3,177
"Sichuan","total","Feb-19-2020",520,3,198
"Sichuan","total","Feb-20-2020",525,3,222
