"province","city","date","infected","dead","recovered"
"Hubei","Suizhou","Jan-24-2020",5,0,0
"Hubei","Suizhou","Jan-25-2020",36,0,0
"Hubei","Suizhou","Jan-26-2020",52,0,0
"Hubei","Suizhou","Jan-27-2020",70,0,0
"Hubei","Suizhou","Jan-28-2020",116,0,0
"Hubei","Suizhou","Jan-29-2020",143,0,0
"Hubei","Suizhou","Jan-30-2020",228,0,0
"Hubei","Suizhou","Jan-31-2020",304,1,0
"Hubei","Suizhou","Feb-01-2020",384,3,3
"Hubei","Suizhou","Feb-02-2020",458,5,3
"Hubei","Suizhou","Feb-03-2020",641,6,3
"Hubei","Suizhou","Feb-04-2020",706,8,9
"Hubei","Suizhou","Feb-05-2020",834,9,9
"Hubei","Suizhou","Feb-06-2020",915,9,9
"Hubei","Suizhou","Feb-07-2020",953,9,23
"Hubei","Suizhou","Feb-08-2020",984,9,23
"Hubei","Suizhou","Feb-09-2020",1049,10,23
"Hubei","Suizhou","Feb-10-2020",1095,12,26
"Hubei","Suizhou","Feb-11-2020",1129,12,51
"Hubei","Suizhou","Feb-12-2020",1160,14,62
"Hubei","Suizhou","Feb-13-2020",1204,16,72
"Hubei","Suizhou","Feb-14-2020",1232,19,96
"Hubei","Suizhou","Feb-15-2020",1254,22,113
"Hubei","Suizhou","Feb-16-2020",1267,24,140
"Hubei","Suizhou","Feb-17-2020",1278,25,198
"Hubei","Suizhou","Feb-18-2020",1280,26,254
"Hubei","Suizhou","Feb-19-2020",1288,27,308
"Hubei","Suizhou","Feb-20-2020",1292,28,386
