"province","city","date","infected","dead","recovered"
"Tianjin","total","Jan-11-2020",0,0,0
"Tianjin","total","Jan-16-2020",0,0,0
"Tianjin","total","Jan-17-2020",0,0,0
"Tianjin","total","Jan-18-2020",0,0,0
"Tianjin","total","Jan-20-2020",0,0,0
"Tianjin","total","Jan-21-2020",2,0,0
"Tianjin","total","Jan-22-2020",4,0,0
"Tianjin","total","Jan-23-2020",5,0,0
"Tianjin","total","Jan-24-2020",8,0,0
"Tianjin","total","Jan-25-2020",13,0,0
"Tianjin","total","Jan-26-2020",17,0,0
"Tianjin","total","Jan-27-2020",24,0,0
"Tianjin","total","Jan-28-2020",25,0,0
"Tianjin","total","Jan-29-2020",28,0,0
"Tianjin","total","Jan-30-2020",32,0,0
"Tianjin","total","Jan-31-2020",34,0,0
"Tianjin","total","Feb-01-2020",45,0,0
"Tianjin","total","Feb-02-2020",54,0,1
"Tianjin","total","Feb-03-2020",66,0,2
"Tianjin","total","Feb-04-2020",69,0,2
"Tianjin","total","Feb-05-2020",69,1,2
"Tianjin","total","Feb-06-2020",79,1,2
"Tianjin","total","Feb-07-2020",88,1,2
"Tianjin","total","Feb-08-2020",90,1,4
"Tianjin","total","Feb-09-2020",94,1,4
"Tianjin","total","Feb-10-2020",102,2,8
"Tianjin","total","Feb-11-2020",107,2,10
"Tianjin","total","Feb-12-2020",117,3,11
"Tianjin","total","Feb-13-2020",119,3,21
"Tianjin","total","Feb-14-2020",121,3,32
"Tianjin","total","Feb-15-2020",122,3,37
"Tianjin","total","Feb-16-2020",125,3,45
"Tianjin","total","Feb-17-2020",127,3,46
"Tianjin","total","Feb-18-2020",128,3,48
"Tianjin","total","Feb-19-2020",130,3,54
"Tianjin","total","Feb-20-2020",131,3,59
