"province","city","date","infected","dead","recovered"
"Hubei","Tianmen","Jan-24-2020",3,0,0
"Hubei","Tianmen","Jan-25-2020",5,0,0
"Hubei","Tianmen","Jan-26-2020",13,0,0
"Hubei","Tianmen","Jan-27-2020",23,2,0
"Hubei","Tianmen","Jan-28-2020",34,3,0
"Hubei","Tianmen","Jan-29-2020",44,3,0
"Hubei","Tianmen","Jan-30-2020",67,6,0
"Hubei","Tianmen","Jan-31-2020",82,7,0
"Hubei","Tianmen","Feb-01-2020",99,7,0
"Hubei","Tianmen","Feb-02-2020",115,10,0
"Hubei","Tianmen","Feb-03-2020",117,10,0
"Hubei","Tianmen","Feb-04-2020",128,10,0
"Hubei","Tianmen","Feb-05-2020",138,10,1
"Hubei","Tianmen","Feb-06-2020",163,10,1
"Hubei","Tianmen","Feb-07-2020",179,10,1
"Hubei","Tianmen","Feb-08-2020",197,10,1
"Hubei","Tianmen","Feb-09-2020",217,10,10
"Hubei","Tianmen","Feb-10-2020",261,10,12
"Hubei","Tianmen","Feb-11-2020",293,10,12
"Hubei","Tianmen","Feb-12-2020",362,10,13
"Hubei","Tianmen","Feb-13-2020",400,10,21
"Hubei","Tianmen","Feb-14-2020",408,10,21
"Hubei","Tianmen","Feb-15-2020",433,10,27
"Hubei","Tianmen","Feb-16-2020",471,10,39
"Hubei","Tianmen","Feb-17-2020",486,11,55
"Hubei","Tianmen","Feb-18-2020",486,11,73
"Hubei","Tianmen","Feb-19-2020",488,12,133
"Hubei","Tianmen","Feb-20-2020",492,12,165
