"province","city","date","infected","dead","recovered"
"Hubei","Wuhan","Jan-16-2020",45,0,6
"Hubei","Wuhan","Jan-17-2020",62,0,6
"Hubei","Wuhan","Jan-18-2020",121,0,6
"Hubei","Wuhan","Jan-20-2020",258,6,25
"Hubei","Wuhan","Jan-21-2020",363,9,28
"Hubei","Wuhan","Jan-22-2020",425,17,28
"Hubei","Wuhan","Jan-23-2020",495,23,31
"Hubei","Wuhan","Jan-24-2020",572,38,31
"Hubei","Wuhan","Jan-25-2020",618,45,40
"Hubei","Wuhan","Jan-26-2020",698,63,42
"Hubei","Wuhan","Jan-27-2020",1590,85,42
"Hubei","Wuhan","Jan-28-2020",1905,104,47
"Hubei","Wuhan","Jan-29-2020",2261,129,54
"Hubei","Wuhan","Jan-30-2020",2639,159,75
"Hubei","Wuhan","Jan-31-2020",3215,192,103
"Hubei","Wuhan","Feb-01-2020",4109,224,138
"Hubei","Wuhan","Feb-02-2020",5142,265,228
"Hubei","Wuhan","Feb-03-2020",6384,313,228
"Hubei","Wuhan","Feb-04-2020",8351,362,369
"Hubei","Wuhan","Feb-05-2020",10117,414,432
"Hubei","Wuhan","Feb-06-2020",12027,478,535
"Hubei","Wuhan","Feb-07-2020",14830,545,698
"Hubei","Wuhan","Feb-08-2020",17436,608,877
"Hubei","Wuhan","Feb-09-2020",20992,681,1045
"Hubei","Wuhan","Feb-10-2020",24589,748,1207
"Hubei","Wuhan","Feb-11-2020",28147,820,1378
"Hubei","Wuhan","Feb-12-2020",32081,1036,1923
"Hubei","Wuhan","Feb-13-2020",35991,1016,2016
"Hubei","Wuhan","Feb-14-2020",37914,1123,2502
"Hubei","Wuhan","Feb-15-2020",39462,1233,2915
"Hubei","Wuhan","Feb-16-2020",41152,1309,3459
"Hubei","Wuhan","Feb-17-2020",42752,1381,4229
"Hubei","Wuhan","Feb-18-2020",44412,1497,4895
"Hubei","Wuhan","Feb-19-2020",45027,1585,5448
"Hubei","Wuhan","Feb-20-2020",45346,1684,6214
