"province","city","date","infected","dead","recovered"
"Hubei","Xiangyang","Jan-25-2020",2,0,0
"Hubei","Xiangyang","Jan-26-2020",36,0,0
"Hubei","Xiangyang","Jan-27-2020",70,0,0
"Hubei","Xiangyang","Jan-28-2020",131,0,0
"Hubei","Xiangyang","Jan-29-2020",163,0,0
"Hubei","Xiangyang","Jan-30-2020",286,0,0
"Hubei","Xiangyang","Jan-31-2020",347,0,0
"Hubei","Xiangyang","Feb-01-2020",441,0,0
"Hubei","Xiangyang","Feb-02-2020",548,0,0
"Hubei","Xiangyang","Feb-03-2020",632,1,1
"Hubei","Xiangyang","Feb-04-2020",735,2,7
"Hubei","Xiangyang","Feb-05-2020",787,2,10
"Hubei","Xiangyang","Feb-06-2020",838,3,29
"Hubei","Xiangyang","Feb-07-2020",907,5,31
"Hubei","Xiangyang","Feb-08-2020",988,7,40
"Hubei","Xiangyang","Feb-09-2020",1019,9,42
"Hubei","Xiangyang","Feb-10-2020",1063,12,49
"Hubei","Xiangyang","Feb-11-2020",1088,12,60
"Hubei","Xiangyang","Feb-12-2020",1101,13,66
"Hubei","Xiangyang","Feb-13-2020",1111,16,73
"Hubei","Xiangyang","Feb-14-2020",1128,18,85
"Hubei","Xiangyang","Feb-15-2020",1144,19,114
"Hubei","Xiangyang","Feb-16-2020",1155,20,151
"Hubei","Xiangyang","Feb-17-2020",1163,21,182
"Hubei","Xiangyang","Feb-18-2020",1165,22,230
"Hubei","Xiangyang","Feb-19-2020",1168,23,294
"Hubei","Xiangyang","Feb-20-2020",1171,24,343
