"province","city","date","infected","dead","recovered"
"Hubei","Xianning","Jan-25-2020",43,0,0
"Hubei","Xianning","Jan-26-2020",64,0,0
"Hubei","Xianning","Jan-27-2020",91,0,0
"Hubei","Xianning","Jan-28-2020",112,0,0
"Hubei","Xianning","Jan-29-2020",130,0,0
"Hubei","Xianning","Jan-30-2020",166,0,0
"Hubei","Xianning","Jan-31-2020",206,0,0
"Hubei","Xianning","Feb-01-2020",246,0,1
"Hubei","Xianning","Feb-02-2020",296,0,1
"Hubei","Xianning","Feb-03-2020",348,0,1
"Hubei","Xianning","Feb-04-2020",384,0,2
"Hubei","Xianning","Feb-05-2020",399,1,3
"Hubei","Xianning","Feb-06-2020",443,1,6
"Hubei","Xianning","Feb-07-2020",481,2,16
"Hubei","Xianning","Feb-08-2020",509,4,23
"Hubei","Xianning","Feb-09-2020",539,4,44
"Hubei","Xianning","Feb-10-2020",568,5,51
"Hubei","Xianning","Feb-11-2020",605,6,65
"Hubei","Xianning","Feb-12-2020",644,7,84
"Hubei","Xianning","Feb-13-2020",694,8,99
"Hubei","Xianning","Feb-14-2020",804,8,127
"Hubei","Xianning","Feb-15-2020",816,8,152
"Hubei","Xianning","Feb-16-2020",825,10,181
"Hubei","Xianning","Feb-17-2020",832,10,205
"Hubei","Xianning","Feb-18-2020",832,10,225
"Hubei","Xianning","Feb-19-2020",834,10,268
"Hubei","Xianning","Feb-20-2020",834,10,313
