"province","city","date","infected","dead","recovered"
"Hubei","Xiantao","Jan-24-2020",2,0,0
"Hubei","Xiantao","Jan-24-2020",10,0,0
"Hubei","Xiantao","Jan-25-2020",11,0,0
"Hubei","Xiantao","Jan-26-2020",12,0,0
"Hubei","Xiantao","Jan-27-2020",27,0,0
"Hubei","Xiantao","Jan-28-2020",32,0,0
"Hubei","Xiantao","Jan-29-2020",55,0,0
"Hubei","Xiantao","Jan-30-2020",90,1,0
"Hubei","Xiantao","Jan-31-2020",97,1,0
"Hubei","Xiantao","Feb-01-2020",140,3,0
"Hubei","Xiantao","Feb-02-2020",169,3,0
"Hubei","Xiantao","Feb-03-2020",188,3,0
"Hubei","Xiantao","Feb-04-2020",225,4,0
"Hubei","Xiantao","Feb-05-2020",265,5,0
"Hubei","Xiantao","Feb-06-2020",307,5,11
"Hubei","Xiantao","Feb-07-2020",359,5,14
"Hubei","Xiantao","Feb-08-2020",379,5,16
"Hubei","Xiantao","Feb-09-2020",416,7,16
"Hubei","Xiantao","Feb-10-2020",438,11,41
"Hubei","Xiantao","Feb-11-2020",460,13,43
"Hubei","Xiantao","Feb-12-2020",480,16,48
"Hubei","Xiantao","Feb-13-2020",500,17,58
"Hubei","Xiantao","Feb-14-2020",514,17,63
"Hubei","Xiantao","Feb-15-2020",523,17,87
"Hubei","Xiantao","Feb-16-2020",531,19,107
"Hubei","Xiantao","Feb-17-2020",544,19,121
"Hubei","Xiantao","Feb-18-2020",562,19,149
"Hubei","Xiantao","Feb-19-2020",567,19,184
"Hubei","Xiantao","Feb-20-2020",568,19,210
