"province","city","date","infected","dead","recovered"
"Hubei","Xiaogan","Jan-23-2020",22,0,0
"Hubei","Xiaogan","Jan-24-2020",26,0,0
"Hubei","Xiaogan","Jan-25-2020",55,0,0
"Hubei","Xiaogan","Jan-26-2020",100,1,0
"Hubei","Xiaogan","Jan-27-2020",173,1,0
"Hubei","Xiaogan","Jan-28-2020",274,3,0
"Hubei","Xiaogan","Jan-29-2020",399,6,0
"Hubei","Xiaogan","Jan-30-2020",541,9,2
"Hubei","Xiaogan","Jan-31-2020",628,12,2
"Hubei","Xiaogan","Feb-01-2020",749,14,2
"Hubei","Xiaogan","Feb-02-2020",918,14,2
"Hubei","Xiaogan","Feb-03-2020",1120,17,2
"Hubei","Xiaogan","Feb-04-2020",1462,18,6
"Hubei","Xiaogan","Feb-05-2020",1886,25,9
"Hubei","Xiaogan","Feb-06-2020",2141,25,25
"Hubei","Xiaogan","Feb-07-2020",2313,26,38
"Hubei","Xiaogan","Feb-08-2020",2436,29,45
"Hubei","Xiaogan","Feb-09-2020",2541,33,81
"Hubei","Xiaogan","Feb-10-2020",2642,41,139
"Hubei","Xiaogan","Feb-11-2020",2751,45,179
"Hubei","Xiaogan","Feb-12-2020",2874,49,207
"Hubei","Xiaogan","Feb-13-2020",3009,57,255
"Hubei","Xiaogan","Feb-14-2020",3114,62,313
"Hubei","Xiaogan","Feb-15-2020",3201,65,353
"Hubei","Xiaogan","Feb-16-2020",3279,70,449
"Hubei","Xiaogan","Feb-17-2020",3320,75,523
"Hubei","Xiaogan","Feb-18-2020",3344,82,572
"Hubei","Xiaogan","Feb-19-2020",3410,89,673
"Hubei","Xiaogan","Feb-20-2020",3427,94,771
