"province","city","date","infected","dead","recovered"
"Xinjiang","total","Jan-11-2020",0,0,0
"Xinjiang","total","Jan-16-2020",0,0,0
"Xinjiang","total","Jan-17-2020",0,0,0
"Xinjiang","total","Jan-18-2020",0,0,0
"Xinjiang","total","Jan-20-2020",0,0,0
"Xinjiang","total","Jan-21-2020",0,0,0
"Xinjiang","total","Jan-22-2020",0,0,0
"Xinjiang","total","Jan-23-2020",2,0,0
"Xinjiang","total","Jan-24-2020",3,0,0
"Xinjiang","total","Jan-25-2020",4,0,0
"Xinjiang","total","Jan-26-2020",5,0,0
"Xinjiang","total","Jan-27-2020",10,0,0
"Xinjiang","total","Jan-28-2020",13,0,0
"Xinjiang","total","Jan-29-2020",14,0,0
"Xinjiang","total","Jan-30-2020",17,0,0
"Xinjiang","total","Jan-31-2020",18,0,0
"Xinjiang","total","Feb-01-2020",21,0,0
"Xinjiang","total","Feb-02-2020",24,0,0
"Xinjiang","total","Feb-03-2020",29,0,0
"Xinjiang","total","Feb-04-2020",32,0,0
"Xinjiang","total","Feb-05-2020",36,0,0
"Xinjiang","total","Feb-06-2020",39,0,0
"Xinjiang","total","Feb-07-2020",42,0,0
"Xinjiang","total","Feb-08-2020",45,0,0
"Xinjiang","total","Feb-09-2020",49,0,0
"Xinjiang","total","Feb-10-2020",55,0,0
"Xinjiang","total","Feb-11-2020",59,0,3
"Xinjiang","total","Feb-12-2020",63,1,3
"Xinjiang","total","Feb-13-2020",65,1,6
"Xinjiang","total","Feb-14-2020",70,1,6
"Xinjiang","total","Feb-15-2020",71,1,11
"Xinjiang","total","Feb-16-2020",75,1,12
"Xinjiang","total","Feb-17-2020",76,1,12
"Xinjiang","total","Feb-18-2020",76,1,14
"Xinjiang","total","Feb-19-2020",76,1,20
"Xinjiang","total","Feb-20-2020",76,1,22
