"province","city","date","infected","dead","recovered"
"Hubei","Yichang","Jan-24-2020",1,1,0
"Hubei","Yichang","Jan-25-2020",20,1,0
"Hubei","Yichang","Jan-26-2020",31,1,0
"Hubei","Yichang","Jan-27-2020",51,1,0
"Hubei","Yichang","Jan-28-2020",63,1,0
"Hubei","Yichang","Jan-29-2020",117,1,0
"Hubei","Yichang","Jan-30-2020",167,1,0
"Hubei","Yichang","Jan-31-2020",276,1,0
"Hubei","Yichang","Feb-01-2020",353,1,0
"Hubei","Yichang","Feb-02-2020",392,1,1
"Hubei","Yichang","Feb-03-2020",452,3,2
"Hubei","Yichang","Feb-04-2020",496,4,9
"Hubei","Yichang","Feb-05-2020",563,6,9
"Hubei","Yichang","Feb-06-2020",610,7,11
"Hubei","Yichang","Feb-07-2020",633,8,24
"Hubei","Yichang","Feb-08-2020",711,8,36
"Hubei","Yichang","Feb-09-2020",749,8,43
"Hubei","Yichang","Feb-10-2020",772,8,52
"Hubei","Yichang","Feb-11-2020",784,8,62
"Hubei","Yichang","Feb-12-2020",810,11,72
"Hubei","Yichang","Feb-13-2020",852,13,81
"Hubei","Yichang","Feb-14-2020",881,15,92
"Hubei","Yichang","Feb-15-2020",895,21,140
"Hubei","Yichang","Feb-16-2020",895,24,156
"Hubei","Yichang","Feb-17-2020",904,24,186
"Hubei","Yichang","Feb-18-2020",907,25,208
"Hubei","Yichang","Feb-19-2020",910,27,231
"Hubei","Yichang","Feb-20-2020",914,28,250
