"province","city","date","infected","dead","recovered"
"Yunnan","total","Jan-11-2020",0,0,0
"Yunnan","total","Jan-16-2020",0,0,0
"Yunnan","total","Jan-17-2020",0,0,0
"Yunnan","total","Jan-18-2020",0,0,0
"Yunnan","total","Jan-20-2020",0,0,0
"Yunnan","total","Jan-21-2020",1,0,0
"Yunnan","total","Jan-22-2020",1,0,0
"Yunnan","total","Jan-23-2020",1,0,0
"Yunnan","total","Jan-24-2020",5,0,0
"Yunnan","total","Jan-25-2020",11,0,0
"Yunnan","total","Jan-26-2020",16,0,0
"Yunnan","total","Jan-27-2020",44,0,0
"Yunnan","total","Jan-28-2020",51,0,0
"Yunnan","total","Jan-29-2020",70,0,0
"Yunnan","total","Jan-30-2020",80,0,0
"Yunnan","total","Jan-31-2020",91,0,1
"Yunnan","total","Feb-01-2020",99,0,2
"Yunnan","total","Feb-02-2020",109,0,3
"Yunnan","total","Feb-03-2020",117,0,5
"Yunnan","total","Feb-04-2020",122,0,5
"Yunnan","total","Feb-05-2020",128,0,5
"Yunnan","total","Feb-06-2020",135,0,7
"Yunnan","total","Feb-07-2020",138,0,12
"Yunnan","total","Feb-08-2020",140,0,17
"Yunnan","total","Feb-09-2020",141,0,18
"Yunnan","total","Feb-10-2020",149,0,19
"Yunnan","total","Feb-11-2020",154,0,21
"Yunnan","total","Feb-12-2020",156,0,27
"Yunnan","total","Feb-13-2020",162,0,27
"Yunnan","total","Feb-14-2020",168,0,40
"Yunnan","total","Feb-15-2020",169,0,42
"Yunnan","total","Feb-16-2020",171,0,45
"Yunnan","total","Feb-17-2020",172,0,57
"Yunnan","total","Feb-18-2020",173,0,57
"Yunnan","total","Feb-19-2020",172,1,60
"Yunnan","total","Feb-20-2020",174,2,79
