"province","city","date","infected","dead","recovered"
"Zhejiang","total","Jan-11-2020",0,0,0
"Zhejiang","total","Jan-16-2020",0,0,0
"Zhejiang","total","Jan-17-2020",0,0,0
"Zhejiang","total","Jan-18-2020",0,0,0
"Zhejiang","total","Jan-20-2020",0,0,0
"Zhejiang","total","Jan-21-2020",5,0,0
"Zhejiang","total","Jan-22-2020",10,0,0
"Zhejiang","total","Jan-23-2020",43,0,0
"Zhejiang","total","Jan-24-2020",62,0,1
"Zhejiang","total","Jan-25-2020",104,0,1
"Zhejiang","total","Jan-26-2020",128,0,1
"Zhejiang","total","Jan-27-2020",173,0,1
"Zhejiang","total","Jan-28-2020",296,0,3
"Zhejiang","total","Jan-29-2020",428,0,4
"Zhejiang","total","Jan-30-2020",537,0,9
"Zhejiang","total","Jan-31-2020",599,0,15
"Zhejiang","total","Feb-01-2020",661,0,23
"Zhejiang","total","Feb-02-2020",724,0,36
"Zhejiang","total","Feb-03-2020",829,0,48
"Zhejiang","total","Feb-04-2020",895,0,63
"Zhejiang","total","Feb-05-2020",954,0,81
"Zhejiang","total","Feb-06-2020",1006,0,98
"Zhejiang","total","Feb-07-2020",1048,0,127
"Zhejiang","total","Feb-08-2020",1075,0,185
"Zhejiang","total","Feb-09-2020",1092,0,201
"Zhejiang","total","Feb-10-2020",1117,0,250
"Zhejiang","total","Feb-11-2020",1131,0,279
"Zhejiang","total","Feb-12-2020",1145,0,335
"Zhejiang","total","Feb-13-2020",1155,0,369
"Zhejiang","total","Feb-14-2020",1162,0,410
"Zhejiang","total","Feb-15-2020",1167,0,441
"Zhejiang","total","Feb-16-2020",1171,0,487
"Zhejiang","total","Feb-17-2020",1172,0,534
"Zhejiang","total","Feb-18-2020",1174,0,544
"Zhejiang","total","Feb-19-2020",1175,0,609
"Zhejiang","total","Feb-20-2020",1203,1,647
